gene_ID	gene_length	longest_CDS_transcript_length
ENSMUSG00000037815	135885.0	3698
ENSMUSG00000079258	3139.0	1047
ENSMUSG00000090451	947.0	948
ENSMUSG00000042816	1632.0	1633
ENSMUSG00000094252	497.0	498
ENSMUSG00000025013	122793.0	3369
ENSMUSG00000024580	13891.0	4030
ENSMUSG00000045877	2008.0	2009
ENSMUSG00000023066	159223.0	7268
ENSMUSG00000095675	665.0	402
ENSMUSG00000033417	56327.0	5790
ENSMUSG00000024518	4450.0	1669
ENSMUSG00000078604	1768.0	144
ENSMUSG00000024527	44399.0	3085
ENSMUSG00000095742	1413.0	243
ENSMUSG00000044724	5939.0	3922
ENSMUSG00000053121	299.0	300
ENSMUSG00000024668	24696.0	3096
ENSMUSG00000066990	326.0	327
ENSMUSG00000095330	452.0	453
ENSMUSG00000074213	1609.0	1610
ENSMUSG00000041360	41118.0	3462
ENSMUSG00000061654	5043.0	4349
ENSMUSG00000078620	7010.0	120
ENSMUSG00000046139	32697.0	4221
ENSMUSG00000006464	19729.0	5581
ENSMUSG00000075006	503.0	312
ENSMUSG00000094887	37970.0	2515
ENSMUSG00000068181	98.0	60
ENSMUSG00000095558	1496.0	1497
ENSMUSG00000094352	1959.0	1960
ENSMUSG00000096256	1709.0	1710
ENSMUSG00000024870	7789.0	1835
ENSMUSG00000095779	123186.0	2723
ENSMUSG00000072963	2306.0	2307
ENSMUSG00000042874	392.0	393
ENSMUSG00000024899	47182.0	3635
ENSMUSG00000002274	2565.0	1363
ENSMUSG00000094741	2573.0	1224
ENSMUSG00000024194	1505.0	639
ENSMUSG00000094576	1421.0	1422
ENSMUSG00000071650	18573.0	3862
ENSMUSG00000031861	8673.0	5800
ENSMUSG00000095505	2722.0	837
ENSMUSG00000095346	19160.0	87
ENSMUSG00000090805	598.0	66
ENSMUSG00000079614	20585.0	3516
ENSMUSG00000063796	20580.0	3478
ENSMUSG00000078590	6290.0	72
ENSMUSG00000091604	3314.0	300
ENSMUSG00000075024	3793.0	2483
ENSMUSG00000043789	30977.0	3540
ENSMUSG00000025024	11359.0	2125
ENSMUSG00000096379	1082.0	1083
ENSMUSG00000092124	1239.0	1240
ENSMUSG00000051490	2344.0	2345
ENSMUSG00000056885	599.0	600
ENSMUSG00000024785	42468.0	1803
ENSMUSG00000095108	467.0	468
ENSMUSG00000071649	6860.0	1601
ENSMUSG00000096201	1439.0	681
ENSMUSG00000096646	1394.0	1395
ENSMUSG00000095728	2570.0	1218
ENSMUSG00000091744	820.0	821
ENSMUSG00000053603	1244.0	1245
ENSMUSG00000092086	1603.0	1604
ENSMUSG00000069622	1125.0	1126
ENSMUSG00000092123	56.0	57
ENSMUSG00000024827	76969.0	3754
ENSMUSG00000060224	26917.0	3119
ENSMUSG00000021676	264745.0	5771
ENSMUSG00000067292	540.0	198
ENSMUSG00000095891	7872.0	684
ENSMUSG00000094911	1082.0	1083
ENSMUSG00000074215	1576.0	1577
ENSMUSG00000074210	1732.0	1733
ENSMUSG00000049427	730.0	731
ENSMUSG00000097169	470.0	471
ENSMUSG00000070023	73174.0	354
ENSMUSG00000091497	992.0	993
ENSMUSG00000047810	13588.0	4959
ENSMUSG00000034484	44495.0	2013
ENSMUSG00000067889	41145.0	8251
ENSMUSG00000091519	43937.0	3141
ENSMUSG00000025225	7353.0	3205
ENSMUSG00000090441	1663.0	36
ENSMUSG00000096949	650.0	93
ENSMUSG00000050321	106945.0	3531
ENSMUSG00000063904	21058.0	2683
ENSMUSG00000045903	5616.0	3277
ENSMUSG00000025034	14796.0	3230
ENSMUSG00000115956	7182.0	2560
ENSMUSG00000004054	13731.0	3801
ENSMUSG00000025078	50585.0	3934
ENSMUSG00000096236	2566.0	1221
ENSMUSG00000095280	3073.0	681
ENSMUSG00000039148	11180.0	5091
ENSMUSG00000073532	1251.0	1252
ENSMUSG00000034300	14854.0	4475
ENSMUSG00000094404	1082.0	1083
ENSMUSG00000071862	6013.0	5665
ENSMUSG00000051219	872.0	873
ENSMUSG00000024759	44568.0	6474
ENSMUSG00000049562	3187.0	3092
ENSMUSG00000074735	1073.0	990
ENSMUSG00000090889	92.0	93
ENSMUSG00000042660	3469.0	1498
ENSMUSG00000095315	39369.0	303
ENSMUSG00000024601	20088.0	2563
ENSMUSG00000069911	107818.0	5371
ENSMUSG00000074473	1838.0	1839
ENSMUSG00000095623	5538.0	1299
ENSMUSG00000091844	5984.0	5985
ENSMUSG00000044390	2968.0	2114
ENSMUSG00000015126	2628.0	1192
ENSMUSG00000053706	3701.0	3702
ENSMUSG00000024790	2582.0	1374
ENSMUSG00000095076	2510.0	1215
ENSMUSG00000094170	21856.0	498
ENSMUSG00000071604	58268.0	2547
ENSMUSG00000024664	18123.0	3269
ENSMUSG00000024026	19793.0	1935
ENSMUSG00000094874	1912.0	366
ENSMUSG00000062526	20300.0	2007
ENSMUSG00000024425	45424.0	930
ENSMUSG00000036501	64471.0	3343
ENSMUSG00000003559	33652.0	1751
ENSMUSG00000040560	281065.0	7109
ENSMUSG00000078735	5538.0	1299
ENSMUSG00000094351	1177.0	372
ENSMUSG00000057561	12521.0	2879
ENSMUSG00000040247	6689.0	1758
ENSMUSG00000003228	202804.0	3165
ENSMUSG00000079353	48184.0	117
ENSMUSG00000024427	15000.0	4587
ENSMUSG00000091768	586.0	39
ENSMUSG00000024588	32516.0	2901
ENSMUSG00000062226	353.0	354
ENSMUSG00000073052	26316.0	2295
ENSMUSG00000097411	1494.0	1495
ENSMUSG00000094127	1619.0	420
ENSMUSG00000078240	1655.0	1656
ENSMUSG00000096680	2733.0	1443
ENSMUSG00000094620	20100.0	702
ENSMUSG00000067929	254.0	255
ENSMUSG00000069475	65.0	66
ENSMUSG00000096736	1206.0	672
ENSMUSG00000079563	11067.0	2068
ENSMUSG00000057411	1776.0	800
ENSMUSG00000045699	17184.0	750
ENSMUSG00000094728	371.0	372
ENSMUSG00000094487	1177.0	648
ENSMUSG00000116045	16349.0	2908
ENSMUSG00000025226	2262.0	1348
ENSMUSG00000062083	611.0	612
ENSMUSG00000073631	371.0	372
ENSMUSG00000033826	250910.0	14583
ENSMUSG00000096463	1496.0	1497
ENSMUSG00000040901	17722.0	3032
ENSMUSG00000053846	21941.0	3787
ENSMUSG00000025178	31783.0	3771
ENSMUSG00000074811	2695.0	2696
ENSMUSG00000095965	497.0	498
ENSMUSG00000063656	8894.0	252
ENSMUSG00000073173	690.0	165
ENSMUSG00000011752	6793.0	1831
ENSMUSG00000006850	7323.0	1817
ENSMUSG00000076500	579.0	359
ENSMUSG00000025218	8256.0	2324
ENSMUSG00000091347	254.0	255
ENSMUSG00000071202	3933.0	1651
ENSMUSG00000056078	21744.0	2701
ENSMUSG00000041062	12290.0	2628
ENSMUSG00000096968	816.0	817
ENSMUSG00000068606	4966.0	2838
ENSMUSG00000068068	158.0	159
ENSMUSG00000047061	2530.0	2531
ENSMUSG00000053536	3749.0	3750
ENSMUSG00000096776	902.0	903
ENSMUSG00000095213	308.0	309
ENSMUSG00000024754	79985.0	6667
ENSMUSG00000056257	1772.0	1773
ENSMUSG00000024990	8701.0	1243
ENSMUSG00000055424	557.0	558
ENSMUSG00000037058	18544.0	1450
ENSMUSG00000053588	464.0	465
ENSMUSG00000079183	1881.0	1882
ENSMUSG00000024897	190721.0	6632
ENSMUSG00000025888	8748.0	1497
ENSMUSG00000024597	68143.0	6520
ENSMUSG00000071362	1353.0	1354
ENSMUSG00000033016	106866.0	4896
ENSMUSG00000083929	2046.0	2047
ENSMUSG00000046229	857.0	759
ENSMUSG00000079800	49758.0	1271
ENSMUSG00000036880	27010.0	1515
ENSMUSG00000067608	1256.0	1257
ENSMUSG00000095098	608.0	609
ENSMUSG00000075015	1846.0	504
ENSMUSG00000095456	5538.0	1299
ENSMUSG00000091863	635.0	636
ENSMUSG00000053560	1521.0	1522
ENSMUSG00000034371	12058.0	2253
ENSMUSG00000025738	12159.0	3478
ENSMUSG00000039330	4352.0	487
ENSMUSG00000096385	3602.0	684
ENSMUSG00000094121	665.0	402
ENSMUSG00000041362	102711.0	4081
ENSMUSG00000092157	10338.0	66
ENSMUSG00000078953	220.0	186
ENSMUSG00000035283	2490.0	2491
ENSMUSG00000073563	93571.0	4394
ENSMUSG00000024958	4381.0	1845
ENSMUSG00000024538	11666.0	1286
ENSMUSG00000096621	1930.0	351
ENSMUSG00000096194	1948.0	1949
ENSMUSG00000053624	1989.0	1990
ENSMUSG00000095500	15055.0	291
ENSMUSG00000024642	149979.0	4555
ENSMUSG00000073574	12848.0	1120
ENSMUSG00000056671	75498.0	724
ENSMUSG00000025202	40728.0	3470
ENSMUSG00000012443	45456.0	4819
ENSMUSG00000024357	232525.0	1695
ENSMUSG00000025429	87462.0	1395
ENSMUSG00000048544	839.0	840
ENSMUSG00000079061	1284.0	120
ENSMUSG00000035885	2458.0	545
ENSMUSG00000024726	34008.0	2090
ENSMUSG00000035804	1133.0	1016
ENSMUSG00000094474	3084.0	1446
ENSMUSG00000063897	20302.0	2173
ENSMUSG00000047787	13715.0	5859
ENSMUSG00000078840	2564.0	207
ENSMUSG00000046585	97667.0	3345
ENSMUSG00000053799	132827.0	2729
ENSMUSG00000007338	4121.0	1722
ENSMUSG00000024359	16928.0	3034
ENSMUSG00000024033	22337.0	1164
ENSMUSG00000036223	12519.0	2669
ENSMUSG00000074629	1330.0	1331
ENSMUSG00000094115	524.0	525
ENSMUSG00000024855	139431.0	4339
ENSMUSG00000062742	368.0	369
ENSMUSG00000001380	16675.0	1987
ENSMUSG00000074922	854.0	855
ENSMUSG00000071847	30868.0	2799
ENSMUSG00000066810	68.0	69
ENSMUSG00000024556	45352.0	2455
ENSMUSG00000097221	461.0	462
ENSMUSG00000091096	103.0	69
ENSMUSG00000096808	1499.0	1500
ENSMUSG00000095474	20434.0	702
ENSMUSG00000054072	16598.0	3121
ENSMUSG00000095672	1939.0	366
ENSMUSG00000110266	35210.0	8516
ENSMUSG00000048922	39510.0	3841
ENSMUSG00000031059	2293.0	908
ENSMUSG00000090266	10985.0	1276
ENSMUSG00000030905	15731.0	1383
ENSMUSG00000040938	3665.0	1938
ENSMUSG00000021936	69260.0	5756
ENSMUSG00000033249	6044.0	1739
ENSMUSG00000002006	31610.0	3970
ENSMUSG00000034120	3193.0	1899
ENSMUSG00000002190	38685.0	3902
ENSMUSG00000055652	25821.0	3403
ENSMUSG00000022021	485868.0	4582
ENSMUSG00000020818	23195.0	4263
ENSMUSG00000015605	7846.0	2616
ENSMUSG00000022799	114934.0	7964
ENSMUSG00000050213	7370.0	2345
ENSMUSG00000047139	5981.0	1816
ENSMUSG00000019820	487177.0	12382
ENSMUSG00000004207	24970.0	2657
ENSMUSG00000062017	121391.0	5384
ENSMUSG00000032796	125388.0	9526
ENSMUSG00000022562	31414.0	4081
ENSMUSG00000032469	8702.0	2261
ENSMUSG00000064215	6028.0	977
ENSMUSG00000022019	128865.0	5280
ENSMUSG00000056962	6017.0	1668
ENSMUSG00000033943	72353.0	13931
ENSMUSG00000011837	3140.0	1536
ENSMUSG00000096072	1034.0	1035
ENSMUSG00000023391	3346.0	2473
ENSMUSG00000045374	13773.0	6908
ENSMUSG00000048696	7304.0	3266
ENSMUSG00000020620	63655.0	7423
ENSMUSG00000071724	2548.0	1909
ENSMUSG00000036013	57761.0	907
ENSMUSG00000057805	701.0	559
ENSMUSG00000034259	3280.0	1796
ENSMUSG00000023330	13138.0	1342
ENSMUSG00000064129	3477.0	1360
ENSMUSG00000061392	3474.0	1357
ENSMUSG00000032053	26372.0	2548
ENSMUSG00000063661	9038.0	2168
ENSMUSG00000050505	6653.0	5241
ENSMUSG00000047022	266772.0	2171
ENSMUSG00000007946	4413.0	1609
ENSMUSG00000004035	5483.0	1377
ENSMUSG00000087075	5281.0	670
ENSMUSG00000032725	17206.0	1204
ENSMUSG00000074062	16824.0	1497
ENSMUSG00000026425	242101.0	8026
ENSMUSG00000062162	1142.0	1143
ENSMUSG00000034327	26373.0	3157
ENSMUSG00000032737	15597.0	4995
ENSMUSG00000071726	732.0	560
ENSMUSG00000067649	480693.0	2163
ENSMUSG00000079104	9470.0	1720
ENSMUSG00000035506	146807.0	3166
ENSMUSG00000035277	11912.0	2881
ENSMUSG00000029371	2264.0	1575
ENSMUSG00000063253	28307.0	1791
ENSMUSG00000101645	76602.0	4734
ENSMUSG00000015812	4258.0	486
ENSMUSG00000039543	58033.0	3615
ENSMUSG00000050043	7824.0	2282
ENSMUSG00000023972	65033.0	4235
ENSMUSG00000035478	7011.0	1662
ENSMUSG00000060445	62392.0	5717
ENSMUSG00000033902	54709.0	6942
ENSMUSG00000055421	877269.0	6521
ENSMUSG00000079559	8311.0	1269
ENSMUSG00000037953	9865.0	2757
ENSMUSG00000027080	9813.0	2059
ENSMUSG00000025142	36474.0	1820
ENSMUSG00000021579	4427.0	2755
ENSMUSG00000020601	25195.0	4198
ENSMUSG00000023074	25904.0	1782
ENSMUSG00000021578	15474.0	9559
ENSMUSG00000039523	33538.0	5151
ENSMUSG00000108841	103573.0	5192
ENSMUSG00000060131	179701.0	5693
ENSMUSG00000049999	3266.0	3267
ENSMUSG00000070476	9904.0	4541
ENSMUSG00000079460	4803.0	1520
ENSMUSG00000060967	8658.0	478
ENSMUSG00000029372	1545.0	1083
ENSMUSG00000034555	116319.0	3996
ENSMUSG00000074061	19221.0	1483
ENSMUSG00000021280	14661.0	3418
ENSMUSG00000039155	56835.0	2908
ENSMUSG00000018822	4281.0	1900
ENSMUSG00000044447	181307.0	9988
ENSMUSG00000109156	349201.0	1991
ENSMUSG00000021668	61889.0	4225
ENSMUSG00000029373	948.0	588
ENSMUSG00000028763	101861.0	14187
ENSMUSG00000025525	61421.0	1359
ENSMUSG00000054746	79017.0	5335
ENSMUSG00000029607	6944.0	1774
ENSMUSG00000020964	43114.0	6300
ENSMUSG00000025527	22476.0	2412
ENSMUSG00000029613	86463.0	4325
ENSMUSG00000000305	456942.0	6388
ENSMUSG00000027359	35836.0	2918
ENSMUSG00000029610	7143.0	1185
ENSMUSG00000047286	9447.0	4600
ENSMUSG00000025528	63069.0	1276
ENSMUSG00000073804	14239.0	1206
ENSMUSG00000027111	112800.0	4310
ENSMUSG00000030838	43153.0	3072
ENSMUSG00000039117	64494.0	4416
ENSMUSG00000098789	5111.0	1373
ENSMUSG00000054400	14077.0	1804
ENSMUSG00000061666	40195.0	2336
ENSMUSG00000005373	48492.0	3622
ENSMUSG00000021221	273971.0	3135
ENSMUSG00000020263	48705.0	3020
ENSMUSG00000033852	15540.0	5092
ENSMUSG00000034689	1526.0	1161
ENSMUSG00000037197	18716.0	1599
ENSMUSG00000098488	9613.0	2790
ENSMUSG00000039108	10478.0	2566
ENSMUSG00000027360	25632.0	2392
ENSMUSG00000051373	15292.0	1947
ENSMUSG00000027566	6059.0	1157
ENSMUSG00000026700	23001.0	1842
ENSMUSG00000079055	135265.0	4927
ENSMUSG00000022076	416366.0	6645
ENSMUSG00000025529	34544.0	4330
ENSMUSG00000039086	27692.0	4343
ENSMUSG00000022054	42256.0	3680
ENSMUSG00000066755	10635.0	2066
ENSMUSG00000022861	188760.0	3555
ENSMUSG00000022055	5232.0	3380
ENSMUSG00000039851	41187.0	2684
ENSMUSG00000039069	15314.0	1730
ENSMUSG00000021779	377829.0	6200
ENSMUSG00000034607	60220.0	3886
ENSMUSG00000039059	5023.0	2706
ENSMUSG00000006678	327388.0	5346
ENSMUSG00000051851	400.0	401
ENSMUSG00000079593	31892.0	715
ENSMUSG00000020918	7719.0	3046
ENSMUSG00000064201	7480.0	2613
ENSMUSG00000039050	43374.0	2805
ENSMUSG00000039830	3220.0	2530
ENSMUSG00000055639	382912.0	5219
ENSMUSG00000110430	17523.0	1900
ENSMUSG00000021940	51547.0	3153
ENSMUSG00000067925	1194.0	1195
ENSMUSG00000046160	2161.0	2162
ENSMUSG00000074127	12139.0	1081
ENSMUSG00000048644	1614.0	1212
ENSMUSG00000039041	4801.0	1535
ENSMUSG00000025404	119057.0	4281
ENSMUSG00000031876	28734.0	1660
ENSMUSG00000032763	10156.0	3020
ENSMUSG00000068227	16015.0	4194
ENSMUSG00000049422	4617.0	1488
ENSMUSG00000087651	39897.0	1194
ENSMUSG00000020719	8830.0	3593
ENSMUSG00000000901	13274.0	2288
ENSMUSG00000033938	4955.0	623
ENSMUSG00000015647	49486.0	11388
ENSMUSG00000019863	27557.0	1981
ENSMUSG00000028863	28104.0	4550
ENSMUSG00000050157	2949.0	714
ENSMUSG00000074060	15660.0	1495
ENSMUSG00000027361	48895.0	4153
ENSMUSG00000028010	6484.0	1271
ENSMUSG00000034837	5238.0	2328
ENSMUSG00000079165	1568.0	1101
ENSMUSG00000067924	1231.0	1232
ENSMUSG00000039001	1068.0	394
ENSMUSG00000093445	11978.0	3078
ENSMUSG00000038217	9184.0	1153
ENSMUSG00000038990	14956.0	2975
ENSMUSG00000037772	8061.0	736
ENSMUSG00000022995	123606.0	11229
ENSMUSG00000038980	12233.0	2319
ENSMUSG00000015627	9566.0	3277
ENSMUSG00000025754	894811.0	3452
ENSMUSG00000029720	13724.0	4464
ENSMUSG00000026970	212999.0	4436
ENSMUSG00000055555	13615.0	1427
ENSMUSG00000038963	18622.0	3101
ENSMUSG00000046834	5368.0	2455
ENSMUSG00000042532	22774.0	2836
ENSMUSG00000054727	14930.0	1224
ENSMUSG00000021071	103081.0	4559
ENSMUSG00000044367	4275.0	2531
ENSMUSG00000027568	45004.0	3917
ENSMUSG00000034648	40446.0	3700
ENSMUSG00000027569	5000.0	1510
ENSMUSG00000002949	16182.0	1790
ENSMUSG00000029379	3497.0	1016
ENSMUSG00000036027	39231.0	1318
ENSMUSG00000049401	6591.0	2449
ENSMUSG00000021208	6325.0	1093
ENSMUSG00000042677	9417.0	2755
ENSMUSG00000003546	15398.0	2322
ENSMUSG00000079017	1513.0	463
ENSMUSG00000058952	39448.0	2079
ENSMUSG00000029375	8533.0	2127
ENSMUSG00000049252	2058378.0	16294
ENSMUSG00000038932	20752.0	2225
ENSMUSG00000022793	26785.0	2304
ENSMUSG00000027570	24399.0	3046
ENSMUSG00000034639	12077.0	1748
ENSMUSG00000056531	100753.0	5336
ENSMUSG00000096351	8691.0	2610
ENSMUSG00000022056	36405.0	3469
ENSMUSG00000025185	18831.0	3738
ENSMUSG00000038914	52035.0	8723
ENSMUSG00000027293	65431.0	3730
ENSMUSG00000025184	73584.0	4112
ENSMUSG00000022057	18715.0	2442
ENSMUSG00000059334	2346.0	2347
ENSMUSG00000069184	21510.0	4153
ENSMUSG00000051900	135166.0	5088
ENSMUSG00000000317	5670.0	3366
ENSMUSG00000026790	42525.0	3959
ENSMUSG00000050211	78923.0	4477
ENSMUSG00000029380	1874.0	953
ENSMUSG00000022824	25897.0	2969
ENSMUSG00000027573	8616.0	2063
ENSMUSG00000075254	87206.0	8161
ENSMUSG00000023393	17017.0	2275
ENSMUSG00000078350	5760.0	5091
ENSMUSG00000070719	23602.0	3688
ENSMUSG00000045493	2519.0	2520
ENSMUSG00000038848	16572.0	3184
ENSMUSG00000029028	9782.0	3468
ENSMUSG00000014725	49815.0	3110
ENSMUSG00000000903	6600.0	729
ENSMUSG00000032503	170847.0	3952
ENSMUSG00000038840	4987.0	1178
ENSMUSG00000017832	725.0	726
ENSMUSG00000027574	19927.0	950
ENSMUSG00000022761	17645.0	3809
ENSMUSG00000054626	20588.0	1860
ENSMUSG00000033255	55077.0	2838
ENSMUSG00000027575	15301.0	2714
ENSMUSG00000046971	14208.0	3116
ENSMUSG00000067594	10974.0	2931
ENSMUSG00000019866	198217.0	7525
ENSMUSG00000014813	12566.0	4197
ENSMUSG00000062275	24941.0	1488
ENSMUSG00000019864	55394.0	2981
ENSMUSG00000044186	3716.0	1134
ENSMUSG00000040287	7137.0	1790
ENSMUSG00000037784	39760.0	4350
ENSMUSG00000022061	4024.0	3195
ENSMUSG00000048583	16050.0	4722
ENSMUSG00000040280	2187.0	934
ENSMUSG00000025403	5321.0	2289
ENSMUSG00000115302	19173.0	4738
ENSMUSG00000049764	10584.0	5097
ENSMUSG00000094992	19530.0	1490
ENSMUSG00000034248	43264.0	4174
ENSMUSG00000047977	4955.0	4055
ENSMUSG00000020226	53467.0	3202
ENSMUSG00000031708	36273.0	1272
ENSMUSG00000016356	31828.0	5012
ENSMUSG00000075402	8569.0	2312
ENSMUSG00000043857	68085.0	4258
ENSMUSG00000027291	36676.0	4384
ENSMUSG00000027577	25166.0	4565
ENSMUSG00000019173	23206.0	1967
ENSMUSG00000047414	92989.0	7099
ENSMUSG00000035451	6288.0	3191
ENSMUSG00000096468	16808.0	703
ENSMUSG00000005374	16103.0	7488
ENSMUSG00000094714	16808.0	703
ENSMUSG00000074059	25966.0	1519
ENSMUSG00000026924	35785.0	8797
ENSMUSG00000020229	41814.0	2055
ENSMUSG00000016346	59721.0	8209
ENSMUSG00000046782	173815.0	5782
ENSMUSG00000021870	121763.0	5476
ENSMUSG00000026511	7670.0	1367
ENSMUSG00000031389	30428.0	6299
ENSMUSG00000035355	19566.0	3948
ENSMUSG00000093954	139858.0	3593
ENSMUSG00000005483	4460.0	2996
ENSMUSG00000095463	30096.0	3589
ENSMUSG00000098773	3917.0	3017
ENSMUSG00000040258	9086.0	1675
ENSMUSG00000030887	11612.0	2180
ENSMUSG00000030884	24348.0	1896
ENSMUSG00000067909	16847.0	730
ENSMUSG00000022066	30096.0	3589
ENSMUSG00000039492	16038.0	2089
ENSMUSG00000034205	86766.0	5316
ENSMUSG00000032473	27806.0	4172
ENSMUSG00000091013	9782.0	3766
ENSMUSG00000019433	12017.0	1522
ENSMUSG00000031388	5071.0	1031
ENSMUSG00000031390	3400.0	2787
ENSMUSG00000031391	42327.0	5126
ENSMUSG00000033808	48801.0	2897
ENSMUSG00000032714	7461.0	3288
ENSMUSG00000079110	48894.0	3174
ENSMUSG00000049436	27144.0	1894
ENSMUSG00000031660	31155.0	3625
ENSMUSG00000064289	75586.0	2698
ENSMUSG00000016493	55423.0	6288
ENSMUSG00000071185	7071.0	2286
ENSMUSG00000016494	22460.0	2554
ENSMUSG00000063065	6218.0	1800
ENSMUSG00000057021	8396.0	3036
ENSMUSG00000025812	548393.0	5815
ENSMUSG00000062646	57804.0	4780
ENSMUSG00000040249	82987.0	14888
ENSMUSG00000034194	10277.0	1958
ENSMUSG00000034190	15541.0	2649
ENSMUSG00000040195	34148.0	6002
ENSMUSG00000002147	17971.0	3775
ENSMUSG00000025402	7650.0	2582
ENSMUSG00000022074	16939.0	3179
ENSMUSG00000022075	20646.0	5322
ENSMUSG00000022085	219498.0	1079
ENSMUSG00000033730	5411.0	3940
ENSMUSG00000033712	15647.0	3725
ENSMUSG00000022089	38101.0	1767
ENSMUSG00000044551	5097.0	1986
ENSMUSG00000025401	15770.0	3439
ENSMUSG00000025400	7290.0	852
ENSMUSG00000022090	13463.0	1578
ENSMUSG00000044617	7811.0	5960
ENSMUSG00000058396	4456.0	3954
ENSMUSG00000099009	32907.0	2766
ENSMUSG00000056148	16311.0	2698
ENSMUSG00000089789	8576.0	3930
ENSMUSG00000069456	45413.0	3286
ENSMUSG00000054052	11248.0	1889
ENSMUSG00000074639	10843.0	1265
ENSMUSG00000040134	4789.0	1678
ENSMUSG00000022091	31521.0	3061
ENSMUSG00000022092	71606.0	1970
ENSMUSG00000040127	13243.0	2868
ENSMUSG00000027288	57023.0	9085
ENSMUSG00000025396	16675.0	1522
ENSMUSG00000025395	14869.0	1583
ENSMUSG00000027287	33584.0	2730
ENSMUSG00000061315	13062.0	6745
ENSMUSG00000071072	18318.0	2000
ENSMUSG00000022798	16543.0	1367
ENSMUSG00000022790	134488.0	3443
ENSMUSG00000022094	47956.0	4926
ENSMUSG00000025144	2796.0	873
ENSMUSG00000021209	81548.0	3964
ENSMUSG00000025393	7118.0	1916
ENSMUSG00000027286	5282.0	1962
ENSMUSG00000005355	6303.0	2336
ENSMUSG00000027285	12177.0	3154
ENSMUSG00000025145	7203.0	2492
ENSMUSG00000037475	125683.0	7622
ENSMUSG00000033644	56906.0	4916
ENSMUSG00000026914	88682.0	1541
ENSMUSG00000078442	6139.0	1714
ENSMUSG00000031960	24520.0	5750
